,gene_name,count_t3d,count_t7d,count_control
5417,KCTD18,1,3,6
13549,UBE2F-SCLY,4,3,6
5771,LINC00276,3,4,6
10654,RP11-563D10.1,3,4,6
4311,GALNT13,5,12,6
2772,CTC-429P9.1,0,0,6
104,AC003075.4,0,7,6
5052,IGFBP2,1,4,6
3597,EHBP1,5,4,6
7588,NLGN1,4,5,6
6733,MAP3K20,2,6,6
8134,PDE10A,5,2,6
11832,SH3BP4,0,5,6
1841,CASP10,0,3,6
7810,NXN,2,15,6
413,AC093382.1,0,1,6
12751,TANK-AS1,2,0,6
1738,CACNA1D,4,2,6
4453,GLI2,5,8,6
7437,NCKAP1,0,3,6
522,ACBD6,0,12,6
11410,RPL37A-DT,0,2,6
1491,BMPR2,3,14,6
4879,HMGB1,3,8,6
11568,SATB2-AS1,0,0,6
929,ANKRD44-IT1,0,0,6
8490,PNKD,4,12,6
239,AC010148.1,1,7,6
13345,TRIM59,0,7,6
314,AC019185.4,0,0,6
14106,ZMYND8,2,9,6
7990,PALLD,4,2,6
13847,WDR7,1,10,6
7534,NFE2L2,3,4,6
352,AC069155.1,0,0,6
5613,KSR2,1,6,6
6937,MFF,2,1,6
5017,IDH1,1,1,6
8475,PLXNA2,1,4,6
4567,GPR1-AS,2,3,6
11508,RUNX1,11,25,6
11503,RUFY4,4,2,6
10780,RP11-640F22.1,10,10,6
5148,INPP4B,10,5,6
6691,MAGI2,8,35,6
8336,PINX1,0,1,6
5531,KLF7,0,3,6
13468,TTLL4,1,0,6
1955,CCDC80,0,0,6
7201,MSH2,4,5,6
587,ACYP2,7,10,6
3633,EIPR1,7,4,6
8887,PTPRN,1,2,6
956,ANTXR1,8,3,6
12337,SP100,3,7,6
1226,ASIC4,2,4,6
3772,ERCC6,2,0,6
12223,SMIM7,0,0,6
10226,RP11-384K6.6,0,0,6
2774,CTC-429P9.4,0,4,6
423,AC093850.1,0,0,6
13817,WDFY1,0,8,5
12972,THSD7B,2,19,5
628,ADARB2,3,5,5
7413,NBEAL1,2,7,5
4766,HAS2-AS1,2,5,5
11433,RPS11P6,0,7,5
9172,RFLNA,5,16,5
8865,PTPN18,0,0,5
9931,RP11-27M15.2,0,0,5
7792,NUP210L,0,4,5
1310,ATP6V1C2,1,2,5
10181,RP11-368L12.1,0,4,5
425,AC096558.1,0,2,5
12728,TAF4,1,0,5
13279,TPT1P2,1,0,5
13916,XIRP2,3,6,5
6821,MBOAT1,0,0,5
13547,UBE2E3,2,0,5
6916,MERTK,3,7,5
11379,RPE,0,3,5
2500,COL27A1,5,4,5
11852,SHANK2,5,4,5
2213,CFAP65,1,4,5
399,AC092155.4,2,0,5
6773,MAPRE3-AS1,0,3,5
280,AC012668.1,5,0,5
6772,MAPRE3,0,4,5
635,ADCY3,2,0,5
3425,DPP4,2,0,5
4768,HAT1,0,0,5
9604,RP11-139E24.1,7,12,5
1392,BANK1,3,4,5
