,gene_name,count_t3d,count_t7d,count_control
7683,NPY1R,1,0,1
3665,EMC1,1,0,1
12001,SLC25A48,0,3,1
2730,CTB-161K23.4,0,0,1
2729,CTB-161K23.3,0,0,1
11052,RP11-834C11.6,0,0,1
11201,RP3-428L16.1,0,0,1
4896,HNRNPA1P39,0,0,1
4861,HJV,0,0,1
4412,GGACT,0,4,1
3677,EML4-AS1,1,1,1
3606,EIF1B-AS1,1,7,1
12034,SLC30A2,0,0,1
6859,MDM1,1,2,1
2494,COL21A1,1,2,1
12041,SLC31A2,0,1,1
11035,RP11-809H16.2,0,0,1
9499,RP11-1134I14.2,0,0,1
9500,RP11-1134I14.8,0,0,1
4893,HNF4A-AS1,0,0,1
4517,GNPDA1,0,0,1
13893,WNT7B,1,1,1
12025,SLC2A13,0,6,1
4898,HNRNPA1P51,0,0,1
4899,HNRNPA2B1,0,0,1
3686,ENDOD1,1,0,1
4891,HNF1B,0,0,1
3695,ENPEP,1,0,1
4892,HNF4A,0,0,1
12013,SLC27A2,0,2,1
10953,RP11-754N21.1,1,1,1
3655,ELOVL2,1,0,1
2746,CTB-88F18.6,0,0,1
11200,RP3-425P12.6,0,0,1
11931,SLC13A1,0,1,1
11940,SLC15A5,0,0,1
4822,HEPHL1,0,0,1
4872,HMBOX1,0,5,1
12511,ST8SIA5,1,1,1
4874,HMBS,0,5,1
2793,CTC-505O3.2,0,0,1
7807,NWD2,1,0,1
10811,RP11-659O3.1,1,1,1
11060,RP11-848P1.9,0,0,1
10831,RP11-672A2.3,1,0,1
9574,RP11-127L20.5,0,0,1
11920,SLC11A1,0,2,1
11934,SLC13A4,0,0,1
10801,RP11-654A16.3,1,9,1
2780,CTC-453G23.5,0,0,1
11061,RP11-849H4.2,0,1,1
12467,SS18L1,1,0,1
13455,TTC6,1,3,1
4903,HNRNPH1,1,0,1
4411,GGA3,0,2,1
9549,RP11-122G18.12,0,0,1
11975,SLC24A2,0,3,1
7764,NTRK2,1,3,1
7774,NUCKS1,1,0,1
13449,TTC39A,1,0,1
9543,RP11-122A21.2,0,2,1
2747,CTB-89H12.4,0,0,1
10999,RP11-78F17.1,0,0,1
6825,MBTD1,1,0,1
2752,CTBP2,0,11,1
6829,MCCC1,1,0,1
11730,SEPTIN6,1,0,1
2951,CTD-2571L23.8,1,1,1
11955,SLC19A3,0,0,1
6185,LINC01967,1,0,1
13797,VWC2,1,0,1
3710,ENTPD4,1,1,1
4422,GHRHR,0,2,1
3074,CYP2C9,1,0,1
3518,E4F1,1,1,1
3506,DYRK1A,1,6,1
6152,LINC01876,1,8,1
4953,HS6ST1,0,6,1
3573,EFCAB5,0,0,1
11112,RP11-941H19.3,1,1,1
2561,COX6C,0,0,1
2560,COX6B2,0,0,1
8277,PHKB,1,2,1
6834,MCHR2-AS1,1,0,1
11147,RP11-98C8.2,1,3,1
4969,HSH2D,0,0,1
4974,HSPA14,0,0,1
2625,CRHBP,0,0,1
4961,HSD17B3,0,1,1
6866,MEAK7,1,0,1
3598,EHD1,1,2,1
11014,RP11-798K23.4,0,0,1
3563,EEFSEC,1,6,1
10038,RP11-316I3.1,0,0,1
3099,D2HGDH,1,7,1
12087,SLC46A3,0,0,1
12086,SLC46A1,0,0,1
3155,DCTN1-AS1,0,0,1
3617,EIF3E,0,3,1
12120,SLC6A20,0,0,1
4372,GCN1,0,2,1
12134,SLC7A6OS,0,0,1
3068,CYP27C1,1,1,1
3156,DCTN4,0,0,1
11177,RP3-331H24.5,1,1,1
11179,RP3-333H23.10,1,3,1
6936,MFAP3,1,0,1
4962,HSD17B3-AS1,0,0,1
4963,HSD17B7P2,0,0,1
13929,XPO6,1,2,1
13921,XKR6,1,1,1
4964,HSD3BP5,0,0,1
4966,HSF1,0,3,1
6901,MEIKIN,1,1,1
12076,SLC43A3,0,1,1
12075,SLC43A2,0,19,1
9826,RP11-220I15.1,0,0,1
11085,RP11-87M18.2,0,0,1
2657,CRYGA,0,0,1
2997,CTNND2,1,2,1
2665,CSE1L,0,0,1
6880,MED24,1,5,1
4887,HMGXB3,0,1,1
8429,PLEKHA7,1,2,1
4936,HPN,0,2,1
2974,CTD-3138B18.4,1,0,1
2651,CRYBA2,0,1,1
11991,SLC25A27,0,0,1
375,AC079135.1,1,4,1
4937,HPN-AS1,0,3,1
12533,STARD4-AS1,1,3,1
2481,COG8,1,1,1
3649,ELMO2,1,3,1
2580,CPLANE1,0,12,1
9467,RP11-1074O12.2,0,0,1
13956,YES1,1,5,1
13967,YTHDC2,1,1,1
11002,RP11-791G15.2,0,0,1
13477,TTYH2,1,2,1
12096,SLC4A5,0,0,1
7742,NSRP1,1,0,1
2596,CPSF3,0,0,1
2592,CPQ,0,5,1
11612,SCMH1,1,5,1
3025,CWC27,1,3,1
11590,SCARA5,1,3,1
9502,RP11-1145F21.2,0,0,1
3213,DENND2C,0,4,1
11016,RP11-798K3.4,1,0,1
7711,NRG2,1,1,1
9548,RP11-122G18.10,0,0,1
4931,HOXD11,0,2,1
1034,APBB1,1,3,1
3006,CTSV,1,0,1
2604,CPZ,0,0,1
13801,WAC,0,3,1
6516,LOXHD1,0,5,1
6514,LONRF2,0,1,1
4227,FRMD4B,3,1,1
4813,HECTD4,3,0,1
10343,RP11-430L3.2,0,0,1
10342,RP11-430L16.1,0,0,1
13795,VWA7,0,7,1
13677,USP32,3,5,1
4217,FREM1,3,2,1
3288,DISC1,2,8,1
1242,ASXL2,3,0,1
6563,LRRC23,0,1,1
5502,KIF5A,1,1,1
6560,LRRC17,0,0,1
7958,P4HA2-AS1,0,0,1
2118,CEACAM16-AS1,3,3,1
10555,RP11-519H15.1,0,0,1
5784,LINC00351,1,1,1
13273,TPRG1,3,7,1
1574,C11orf49,1,3,1
469,AC107057.1,0,0,1
445,AC100830.3,0,0,1
12361,SPATA16,1,1,1
6598,LRRC8D,0,2,1
6596,LRRC8A,0,0,1
6467,LIX1-AS1,3,0,1
492,AC138647.1,0,0,1
5793,LINC00407,1,0,1
488,AC126365.1,0,0,1
1147,ARID3B,3,0,1
1086,ARHGAP10,3,3,1
13802,WAKMAR2,0,0,1
1107,ARHGAP35,3,12,1
5528,KLF13,1,3,1
10284,RP11-405A12.2,3,0,1
8047,PAX6,0,0,1
486,AC124057.5,0,0,1
5884,LINC00927,0,0,1
481,AC116035.2,0,0,1
10329,RP11-426L16.10,0,0,1
10328,RP11-426J5.3,0,0,1
13709,UTRN,3,5,1
8639,PPP2R5E,0,0,1
6016,LINC01376,3,0,1
5469,KIAA1549,1,3,1
5821,LINC00535,3,3,1
545,ACOXL-AS1,0,0,1
6601,LRRCC1,0,0,1
2339,CLCA2,1,0,1
2676,CSNK1G1,3,8,1
13736,VEGFC,0,0,1
4195,FOXI2,0,0,1
9508,RP11-114G22.1,3,2,1
2002,CCT3,3,10,1
5854,LINC00702,0,0,1
600,ADAM28,0,2,1
543,ACOX3,0,3,1
13723,VAT1L,0,1,1
7927,OTOS,0,0,1
7926,OTOR,0,0,1
7924,OTOGL,0,2,1
13732,VDAC1,0,2,1
3857,EYA4,3,1,1
9451,RP11-103J8.1,3,3,1
12621,STYXL1,3,3,1
13694,USP49,0,2,1
5855,LINC00836,0,0,1
4532,GOLPH3,0,3,1
2154,CEP131,3,2,1
13771,VPS52,0,1,1
4150,FLCN,0,1,1
13718,VANGL1,0,1,1
13716,VAMP7,0,0,1
10500,RP11-498J9.2,3,4,1
510,ACAD8,0,3,1
8000,PANK1,0,0,1
4912,HNRNPUL1,3,1,1
4146,FKBP9P1,0,0,1
10564,RP11-521D12.5,0,0,1
7985,PAK5,3,1,1
13252,TP63,3,1,1
10566,RP11-521O16.3,0,0,1
9491,RP11-111A21.1,3,4,1
11311,RP5-1120P11.3,0,0,1
6692,MAGI3,3,3,1
551,ACRBP,0,1,1
3960,FAM214A,3,0,1
548,ACP6,0,0,1
4596,GPR78,1,0,1
10454,RP11-476K15.1,0,7,1
10369,RP11-438L19.1,0,0,1
420,AC093802.1,0,4,1
13404,TSHZ2,3,7,1
5568,KMT2B,1,0,1
13365,TRIT1,3,0,1
10504,RP11-499P1.2,0,0,1
2296,CHRNB4,3,0,1
6504,LMX1A,0,0,1
5573,KMT5C,1,0,1
6587,LRRC56,0,0,1
454,AC104623.2,0,1,1
977,AP000320.7,3,12,1
1517,BRAF,1,1,1
10094,RP11-33A14.1,3,1,1
4002,FAM86LP,0,0,1
13538,UBAP2,3,1,1
9927,RP11-279O17.3,0,1,1
3353,DNAJB2,0,2,1
13841,WDR55,0,0,1
8583,PPIEL,0,0,1
8783,PRTFDC1,1,0,1
8575,PPFIA3,0,3,1
10375,RP11-444B5.1,0,2,1
13946,XXbac-BPGBPG34I8.3,0,0,1
8915,PWWP3B,1,0,1
13959,YJEFN3,0,0,1
8912,PWRN1,1,1,1
366,AC073636.1,0,0,1
8616,PPP1R2,0,0,1
3364,DNAJC2,0,0,1
8619,PPP1R2P5,0,0,1
944,ANO1,3,3,1
6477,LLNLR-245B6.1,0,0,1
4448,GLDC,3,3,1
8760,PRR16,1,0,1
8053,PAXIP1,0,0,1
10012,RP11-307N16.6,3,4,1
417,AC093642.1,0,0,1
8963,RAB31,1,4,1
427,AC096579.15,0,0,1
8050,PAX9,0,0,1
922,ANKRD35,3,6,1
8049,PAX8-AS1,0,0,1
6478,LLNLR-263F3.1,0,0,1
10097,RP11-33N16.3,3,10,1
13627,UNC13C,3,4,1
13849,WDR72,0,0,1
8117,PCSK2,3,0,1
4568,GPR107,1,3,1
8695,PRICKLE2,1,2,1
458,AC104809.2,0,0,1
4154,FLJ12825,0,3,1
12410,SPOCK3,3,2,1
405,AC092667.2,0,0,1
13886,WNT16,0,0,1
5876,LINC00906,0,0,1
5878,LINC00917,0,0,1
13224,TOB2,1,0,1
779,AK5,3,1,1
8204,PECAM1,3,1,1
8145,PDE4B,3,23,1
6528,LPIN3,0,1,1
10485,RP11-486O13.4,0,0,1
1547,BTBD8,1,0,1
10323,RP11-426A21.2,3,0,1
403,AC092601.1,0,0,1
13903,WWC1,0,3,1
6509,LNCOG,0,0,1
13925,XPNPEP2,0,0,1
2497,COL24A1,3,1,1
9926,RP11-278H7.6,0,0,1
13879,WNK1,0,2,1
13877,WIZ,0,2,1
2279,CHODL,3,4,1
13811,WASHC4,0,0,1
4113,FGF12-AS1,0,0,1
5925,LINC01116,0,0,1
8648,PPP4R4,0,3,1
8069,PCCB,0,0,1
6059,LINC01504,3,0,1
13858,WDR92,0,0,1
9925,RP11-278H7.4,0,0,1
9752,RP11-187O7.3,3,2,1
10532,RP11-509E10.1,0,0,1
9835,RP11-230G5.2,3,4,1
9950,RP11-286O1.1,0,7,1
2523,COLEC11,3,0,1
2529,COMMD10,3,3,1
734,AGMO,3,3,1
4553,GPC5,1,6,1
796,AKNA,0,3,1
12800,TBL1X,3,1,1
5201,IRAG1,3,3,1
9058,RASEF,1,0,1
13522,TYW3,0,0,1
4552,GPC3,1,1,1
5803,LINC00470,0,1,1
9071,RASSF5,1,0,1
11187,RP3-402L9.3,3,4,1
4194,FOXE1,0,0,1
6678,MADCAM1,0,0,1
6677,MAD2L2,0,1,1
1563,BZW2,3,1,1
4577,GPR153,0,1,1
13569,UBN2,0,2,1
8740,PRORP,0,5,1
6686,MAG,0,0,1
3062,CYP1B1-AS1,3,9,1
11136,RP11-96H19.1,3,5,1
11102,RP11-90C4.1,3,3,1
6679,MADCAM1-AS1,0,0,1
6961,MGAT4C,3,9,1
4579,GPR156,0,2,1
3620,EIF3L,3,0,1
13600,UGT1A10,0,0,1
10312,RP11-420C9.1,0,0,1
6682,MAF1,0,0,1
12891,TEX14,1,5,1
757,AHRR,0,5,1
10262,RP11-398C13.8,0,0,1
5806,LINC00476,0,0,1
724,AGAP6,0,0,1
5220,ISG20,3,0,1
5792,LINC00395,0,0,1
7882,OR52E1,0,0,1
805,AKR1E2,0,1,1
803,AKR1C8P,0,0,1
8969,RAB3C,3,0,1
813,AL121578.2,0,0,1
3588,EFR3B,3,1,1
12902,TEX9,1,3,1
781,AK7,0,0,1
10667,RP11-569D9.6,0,0,1
1456,BHLHE40-AS1,3,2,1
3892,FAM118B,0,0,1
6784,MARCHF6,0,0,1
3894,FAM120B,0,0,1
9907,RP11-268P4.5,3,0,1
2396,CLSTN2,3,6,1
831,ALG13,0,0,1
4496,GNAQ,3,2,1
3329,DNAAF2,0,0,1
14263,ZNF609,3,4,1
9994,RP11-301F14.1,3,0,1
5466,KIAA1217,3,1,1
10624,RP11-552F3.12,0,2,1
8735,PROC,0,0,1
1293,ATP2B4,1,4,1
7334,MYO5C,2,6,1
3851,EXTL1,0,2,1
864,AMDHD1,0,0,1
6787,MARCO,0,0,1
13510,TWSG1-DT,0,0,1
6767,MAPKAPK2,0,2,1
3254,DHRS9,2,1,1
825,ALDH4A1,1,5,1
6685,MAFIP,0,0,1
3282,DIRC1,0,2,1
14086,ZHX2,3,4,1
844,ALOX12-AS1,0,2,1
8742,PROSER3,0,0,1
786,AKAP11,0,0,1
8743,PROX1,0,0,1
6720,MAP2K3,0,0,1
5399,KCNN2,1,4,1
13553,UBE2J1,0,0,1
10305,RP11-417L19.5,0,0,1
3270,DIAPH3,3,12,1
5758,LINC00092,0,0,1
13566,UBL3,0,0,1
8755,PRPS2,0,0,1
1235,ASRGL1,1,0,1
12881,TERF2,3,2,1
889,ANKAR,0,0,1
7188,MRPS5,3,1,1
164,AC006369.2,3,0,1
3407,DOK4,3,0,1
4586,GPR19,0,0,1
7281,MVB12B,3,4,1
594,ADAM15,0,1,1
8730,PRMT3,3,4,1
10637,RP11-555K12.4,0,4,1
10597,RP11-53I6.2,0,6,1
642,ADD1,0,3,1
4569,GPR132,0,0,1
7948,P2RX5-TAX1BP3,0,0,1
7947,P2RX5,0,0,1
5820,LINC00534,0,1,1
7945,P2RX3,0,0,1
13168,TMPRSS3,1,0,1
7891,OR9A4,0,0,1
5831,LINC00578,1,1,1
13629,UNC45B,0,0,1
12624,SUCLG2,3,0,1
5817,LINC00504,1,4,1
711,AFDN,0,0,1
13524,U52111.14,1,0,1
9245,RIN2,3,9,1
5837,LINC00620,0,3,1
4188,FNTA,0,0,1
7765,NTRK3,3,10,1
5861,LINC00856,0,2,1
5862,LINC00857,0,0,1
7974,PADI4,0,0,1
5791,LINC00393,3,6,1
2350,CLDN10,1,2,1
569,ACTG1P22,0,0,1
4042,FBXL17,3,1,1
568,ACTE1P,0,3,1
7981,PAK1IP1,0,0,1
5849,LINC00671,0,0,1
5048,IGF2BP2,3,1,1
13580,UBTD2,1,0,1
13706,UTP25,0,0,1
13777,VRK2,3,8,1
6576,LRRC38,0,0,1
9916,RP11-270G18.1,0,0,1
11325,RP5-1184F4.7,0,1,1
11881,SIAH3,3,0,1
11845,SH3RF2,3,3,1
11847,SH3TC1,3,5,1
8689,PREX1,1,10,1
595,ADAM17,0,3,1
7978,PAIP2,0,0,1
12747,TANC2,3,6,1
9946,RP11-285G1.15,0,4,1
8747,PRPF3,1,0,1
7748,NT5C2,3,0,1
6713,MANBA,0,0,1
8855,PTK7,3,0,1
10545,RP11-513H8.2,0,4,1
12958,THEMIS,1,4,1
12957,THEM7P,1,1,1
3693,ENOX1,3,12,1
6610,LRRN4,0,0,1
746,AGTPBP1,0,0,1
745,AGT,0,0,1
6940,MFHAS1,3,2,1
6959,MGAT3,3,3,1
9215,RHCE,3,0,1
6698,MAL2,0,3,1
6697,MAL,0,6,1
6646,LYPD3,0,0,1
13907,WWP2,3,11,1
671,ADI1,0,1,1
751,AHCYP5,0,0,1
6609,LRRN2,0,2,1
1329,ATRN,3,5,1
12922,TGFB1,1,7,1
687,ADSS2,0,4,1
6623,LSP1P5,0,0,1
12685,SYNE2,3,8,1
6622,LSP1P4,0,0,1
5829,LINC00570,0,0,1
2395,CLSTN1,1,0,1
625,ADAP2,0,0,1
7913,OSGIN1,0,2,1
638,ADCY6,0,1,1
10594,RP11-53B2.3,0,1,1
6851,MCU,3,3,1
3962,FAM216A,0,0,1
3731,EPCAM-DT,3,4,1
6666,MAB21L4,0,3,1
677,ADORA1,0,0,1
4583,GPR161,0,0,1
13584,UBXN2A,0,0,1
13930,XPO7,3,2,1
2912,CTD-2337A12.1,3,12,1
5631,LA16c-444G7.1,3,1,1
422,AC093843.1,5,2,1
8373,PKP1,0,0,1
6272,LINC02257,0,0,1
4373,GCNT1,5,2,1
8374,PKP2,0,0,1
2147,CENPP,5,4,1
1188,ARRB1,5,12,1
12312,SON,1,3,1
10438,RP11-471J7.2,0,2,1
9998,RP11-303E16.10,0,0,1
1603,C16orf95,3,7,1
10357,RP11-434M17.1,0,0,1
6747,MAP4K4,5,0,1
8307,PIGH,0,0,1
12793,TBC1D9,5,1,1
8306,PIGG,0,2,1
10388,RP11-447M4.1,0,0,1
5197,IQSEC1,5,5,1
9207,RGSL1,5,1,1
5660,LARS2,1,0,1
8041,PATJ,5,6,1
3879,FAF1,5,9,1
2608,CRACDL,5,1,1
5698,LEKR1,5,3,1
8412,PLCG2,0,2,1
8323,PIK3CD,0,1,1
7741,NSMCE2,5,2,1
6110,LINC01723,0,0,1
1396,BASP1,1,5,1
6926,METTL15,5,7,1
6281,LINC02291,0,0,1
6154,LINC01878,0,0,1
8891,PTPRS,5,7,1
6227,LINC02109,0,0,1
93,AC002310.7,0,0,1
6225,LINC02099,0,1,1
2524,COLEC12,5,3,1
10413,RP11-45A16.4,0,2,1
134,AC005077.7,0,0,1
6265,LINC02241,0,0,1
6279,LINC02284,0,0,1
11261,RP4-736L20.5,0,0,1
11271,RP4-787H6.1,0,0,1
6274,LINC02262,0,0,1
6156,LINC01880,0,0,1
6068,LINC01533,0,0,1
9097,RBM20,4,8,1
5366,KCNH1,4,7,1
11272,RP4-791K14.2,0,6,1
204,AC008069.1,0,0,1
12241,SMYD3,4,3,1
5269,ITPR2,4,12,1
11519,RXFP1,4,1,1
5676,LCMT1,1,1,1
1739,CACNA1E,4,10,1
6591,LRRC7,5,1,1
187,AC007362.3,0,0,1
2335,CLASP1,4,7,1
8422,PLEC,4,3,1
8266,PHF19,0,8,1
5622,LA16c-306E5.2,1,1,1
194,AC007557.3,0,0,1
8215,PEPD,0,0,1
14163,ZNF326,0,0,1
13416,TSPAN18,4,7,1
8441,PLEKHG7,0,0,1
6122,LINC01772,0,0,1
8292,PIAS2,0,0,1
6039,LINC01470,0,2,1
3946,FAM189A1,5,0,1
5693,LDLRAD4,5,21,1
6093,LINC01659,0,0,1
6319,LINC02406,0,0,1
6123,LINC01787,0,0,1
9839,RP11-231C18.3,5,8,1
2549,CORO2A,5,0,1
7642,NOSTRIN,5,4,1
3388,DNMT3A,0,6,1
5763,LINC00189,5,2,1
6309,LINC02388,0,0,1
6308,LINC02386,0,0,1
6306,LINC02381,0,0,1
13424,TSPEAR,5,4,1
6133,LINC01811,5,3,1
8334,PIN4,0,1,1
8332,PILRA,0,3,1
8340,PIP5K1B,5,4,1
82,ABR,5,10,1
3385,DNM3,5,2,1
6118,LINC01762,0,0,1
8353,PJA2,0,0,1
7712,NRG3,8,4,1
7206,MSI2,8,8,1
8339,PIP5K1A,0,0,1
6196,LINC01997,0,0,1
5190,IQCJ-SCHIP1,7,5,1
7655,NPAS3,7,2,1
12172,SLIT3,7,1,1
13726,VAV3,7,6,1
8186,PDS5B,7,2,1
14241,ZNF56,0,1,1
11811,SGO1-AS1,7,0,1
12137,SLC8A1,7,8,1
8999,RAD51B,7,16,1
4039,FBXL13,6,0,1
1765,CADPS2,6,5,1
4803,HDLBP,6,5,1
13059,TMEM132D,6,1,1
13744,VIM2P,6,8,1
4076,FBXW7,6,5,1
3302,DLG2,14,19,1
6193,LINC01985,0,0,1
12428,SPTBN2,1,0,1
44,ABCC3,0,0,1
9086,RBFOX1,18,26,1
8396,PLAC8,0,1,1
6128,LINC01802,0,0,1
6143,LINC01837,0,0,1
8379,PLA2G12B,0,0,1
7331,MYO3B-AS1,0,0,1
5652,LAPTM4B,1,0,1
8386,PLA2G4E,0,2,1
4028,FAT3,9,7,1
6169,LINC01921,0,0,1
6179,LINC01948,0,0,1
14367,ZSCAN32,0,0,1
8387,PLA2G4E-AS1,0,0,1
6177,LINC01938,0,0,1
40,ABCC11,0,2,1
2069,CDH13,10,16,1
6200,LINC02008,0,4,1
9895,RP11-265I24.1,1,5,1
8356,PKD1L2,0,2,1
6204,LINC02018,0,0,1
39,ABCC10,0,0,1
7350,MYRIP,5,9,1
1417,BCAS4,1,0,1
2443,CNOT1,5,0,1
2055,CDC42BPA,5,7,1
13219,TNS3,5,8,1
4546,GPATCH3,0,0,1
6139,LINC01828,0,0,1
88,AC000111.6,0,2,1
6140,LINC01829,0,0,1
102,AC003005.4,0,0,1
9716,RP11-170M17.1,6,7,1
6629,LTBP2,5,6,1
7957,P4HA2,5,3,1
8713,PRKCH,5,9,1
4955,HS6ST3,5,2,1
5871,LINC00882,5,7,1
2723,CTB-127M13.1,5,4,1
14246,ZNF568,0,1,1
966,AOPEP,5,7,1
7325,MYO1D,5,7,1
8481,PLXND1,5,2,1
9178,RFX3,5,1,1
13028,TMC1,6,6,1
4228,FRMD5,6,0,1
6766,MAPKAP1,6,8,1
11876,SHROOM3,6,1,1
4061,FBXO36-IT1,0,0,1
389,AC084149.2,6,3,1
8402,PLBD1,0,0,1
2511,COL5A2,6,3,1
4063,FBXO41,0,3,1
12381,SPECC1,6,7,1
111,AC004019.13,0,0,1
4317,GALNT2,6,4,1
8407,PLCB4,0,5,1
2670,CSMD2,6,19,1
2230,CGNL1,6,9,1
12321,SORL1,1,1,1
9327,RNF4,6,1,1
8458,PLP1,0,0,1
9511,RP11-114J13.1,6,9,1
4108,FGD4,0,3,1
99,AC002539.1,0,1,1
8798,PSMA5,1,0,1
5655,LARP1,1,1,1
8125,PCYT1B-AS1,0,0,1
301,AC017053.1,0,0,1
11527,RYR3,4,6,1
7538,NFIX,4,5,1
12170,SLIT1,4,7,1
8513,POLD1,0,2,1
6456,LINP1,0,0,1
14049,ZDHHC8,4,0,1
4286,GABRB1,4,2,1
8156,PDE7A,0,2,1
12682,SYNDIG1,4,1,1
8165,PDGFRA,0,0,1
4142,FIZ1,0,0,1
3112,DAPK1,4,2,1
277,AC012593.2,0,0,1
8173,PDILT,0,2,1
1715,C9orf92,4,2,1
1032,APBA2,4,3,1
5685,LDAH,1,1,1
8531,POLR2M,0,2,1
4600,GPRC5A,1,1,1
329,AC027612.4,0,0,1
1776,CAMK1D,4,3,1
14005,ZBTB8A,0,6,1
6401,LINC02731,0,0,1
14001,ZBTB48,0,12,1
4659,GRM5,4,3,1
13389,TRPS1,4,0,1
14042,ZDHHC15,0,0,1
14055,ZFAND2B,0,1,1
14053,ZEB2P1,0,0,1
5970,LINC01235,0,3,1
292,AC016683.5,0,0,1
6015,LINC01374,4,2,1
8181,PDLIM7,0,1,1
5972,LINC01248,0,0,1
1516,BPTF,4,0,1
13010,TLN2,4,7,1
6346,LINC02492,1,0,1
8176,PDK3,0,1,1
8897,PUDP,1,3,1
9937,RP11-281P23.3,0,0,1
14080,ZFYVE28,4,2,1
3496,DYNC1H1,4,4,1
8182,PDP2,0,6,1
5557,KLHL4,1,0,1
13978,ZAP70,0,0,1
13976,ZACN,0,2,1
13990,ZBTB2,0,0,1
14358,ZRANB3,4,7,1
14025,ZCCHC10,0,0,1
5994,LINC01310,0,0,1
13972,YWHAG,0,4,1
3256,DHTKD1,3,0,1
11383,RPH3A,3,3,1
2269,CHMP1A,1,0,1
3341,DNAH5,3,5,1
8129,PDCD6,0,0,1
13917,XIRP2-AS1,0,0,1
8721,PRKDC,1,3,1
388,AC083884.8,0,4,1
7299,MYH11,3,3,1
3404,DOCK8,3,3,1
396,AC090952.5,0,0,1
3439,DPYSL2,3,3,1
13954,YARS1,0,0,1
13971,YWHAEP7,0,0,1
8220,PEX14,4,0,1
331,AC037445.1,0,1,1
330,AC034243.1,0,0,1
5329,KATNBL1,4,0,1
8895,PTS,1,1,1
312,AC018866.1,0,0,1
8586,PPIL2,0,1,1
5985,LINC01283,0,0,1
13950,XYLB,0,0,1
2421,CNBD1,4,4,1
13982,ZBED6,0,3,1
13986,ZBTB10,0,0,1
13985,ZBTB1,0,0,1
1706,C8orf44-SGK3,4,2,1
4432,GIPC2,4,2,1
13995,ZBTB40,0,1,1
13943,XXbac-BPG181M17.6,0,0,1
6436,LINC02831,0,0,1
13188,TNFRSF19,1,0,1
8541,POM121L12,0,0,1
9951,RP11-287D1.3,0,0,1
14184,ZNF407,4,2,1
5991,LINC01293,0,0,1
618,ADAMTS9,4,7,1
14065,ZFP14,0,0,1
4084,FCGR3A,0,3,1
4082,FCGBP,0,0,1
3929,FAM169B,4,4,1
13109,TMEM229B,1,0,1
5645,LAMP1,1,0,1
8486,PMPCB,0,0,1
6333,LINC02452,0,0,1
3805,ESR2,4,1,1
10399,RP11-452H21.1,0,0,1
2136,CELSR1,4,6,1
2098,CDK5RAP2,4,6,1
4094,FDX1,0,1,1
1332,ATXN1,4,7,1
14125,ZNF169,0,1,1
5554,KLHL32,1,0,1
8434,PLEKHG1,0,5,1
8436,PLEKHG3,0,0,1
8059,PBX4,4,1,1
11264,RP4-768P8.2,0,0,1
14127,ZNF189,0,0,1
3936,FAM178B,4,2,1
13796,VWA8,4,6,1
6645,LYPD1,4,1,1
13774,VPS8,4,2,1
1236,ASS1,4,0,1
6350,LINC02509,0,0,1
6054,LINC01496,0,0,1
6348,LINC02499,0,1,1
6292,LINC02330,0,0,1
6055,LINC01498,0,0,1
6802,MAST2,4,5,1
183,AC007255.8,0,0,1
10415,RP11-45M22.4,0,1,1
8474,PLXNA1,0,1,1
4138,FIGNL2,0,1,1
219,AC009305.1,0,0,1
593,ADAM12,4,0,1
13057,TMEM132B,1,4,1
10460,RP11-479O16.1,0,0,1
6005,LINC01350,0,0,1
4030,FAXC,0,0,1
14135,ZNF221,0,0,1
4071,FBXO8,0,0,1
14095,ZMAT1,0,0,1
8148,PDE4DIP,0,2,1
14092,ZIM2-AS1,0,3,1
12689,SYNM,4,0,1
2212,CFAP61,4,2,1
8160,PDE9A,4,4,1
6031,LINC01442,0,0,1
265,AC012354.6,0,0,1
215,AC009237.8,0,0,1
5584,KPNB1,1,1,1
8509,POGZ,0,1,1
13991,ZBTB20,4,1,1
6986,MICU1,4,10,1
3679,EML6,4,1,1
8759,PRR14L,1,0,1
12977,TIAM2,4,13,1
12734,TAF7,4,0,1
12778,TBC1D22A,4,8,1
271,AC012462.3,0,2,1
266,AC012358.8,0,0,1
8197,PDZK1,0,1,1
10472,RP11-482M8.1,0,0,1
6978,MICAL2,4,6,1
8212,PELI3,0,0,1
13632,UNC5C,4,1,1
2607,CRACD,4,0,1
3767,ERC2,4,3,1
6843,MCM9,4,0,1
14144,ZNF250,0,5,1
10456,RP11-478H11.3-001,0,0,1
4199,FOXK2,4,13,1
6488,LMBRD1,4,0,1
14089,ZIC4,0,0,1
9622,RP11-141M1.3,4,1,1
14038,ZDHHC11,0,0,1
14032,ZCCHC7,0,0,1
8195,PDZD8,0,1,1
10458,RP11-478J18.2,0,0,1
284,AC013448.1,0,0,1
282,AC012668.3,0,0,1
10171,RP11-362K2.2,4,0,1
4354,GATAD2B,4,8,1
3354,DNAJB5,0,0,1
13093,TMEM192,4,1,1
8150,PDE4DIPP8,0,0,1
14088,ZIC1,0,6,1
3763,ERBB2,0,0,1
7237,MTHFS,0,8,1
2387,CLPB,2,0,1
3819,ETV1,0,0,1
7468,NDUFAB1,0,0,1
5375,KCNIP3,0,0,1
6351,LINC02511,2,1,1
8291,PIAS1,2,3,1
5907,LINC01020,1,0,1
2458,CNTN1,2,3,1
7071,MLYCD,0,2,1
7408,NAV2-IT1,0,0,1
4426,GIN1,2,0,1
7218,MT-RNR2,0,0,1
